,pl_name,pl_rade,pl_eqt,pl_orbsmax,st_teff,st_lum,T_ast,Seff_rg,Seff_mxg,d_rg,d_mxg
44,EPIC 211822797 b,1.92,431.0,0.1195,4057.0,,-1723.0,0.8908805118304267,0.26380565647636584,,
45,EPIC 211945201 b,5.7217225,793.59,0.14865,6060.25,,280.25,1.0743767238068433,0.3674585881467963,,
46,EPIC 212297394 b,1.48,1149.0,,5171.0,,-609.0,0.9695457826263809,0.3156441142517016,,
47,EPIC 212297394 c,2.27,866.0,,5171.0,,-609.0,0.9695457826263809,0.3156441142517016,,
48,EPIC 212587672 b,1.26,756.0,,6004.0,,224.0,1.0670443957058697,0.36409421030265654,,
49,EPIC 212587672 c,2.32,658.0,,6004.0,,224.0,1.0670443957058697,0.36409421030265654,,
50,EPIC 212737443 b,2.586,536.0,0.098,4684.0,,-1096.0,0.9270587803654775,0.29061738152207667,,
51,EPIC 212737443 c,2.69,316.0,0.28,4684.0,,-1096.0,0.9270587803654775,0.29061738152207667,,
52,EPIC 220674823 b,1.71957143,2221.86,0.0129533333,5538.14,,-241.85999999999967,1.0093306859929745,0.3364289436187233,,
53,EPIC 220674823 c,2.77114286,774.86,0.1074333333,5538.14,,-241.85999999999967,1.0093306859929745,0.3364289436187233,,
54,EPIC 228836835 b,1.27,932.0,,3506.0,-1.61153,-2274.0,0.8737601515240225,0.24531946848218403,0.16731654295904091,0.31576863697504776
55,EPIC 229004835 b,2.17733333,759.0,0.1237,5864.33,0.02989,84.32999999999993,1.0491033916533556,0.355734265115017,1.010498921816938,1.7353303015238875
56,EPIC 246851721 b,12.74220276,1403.51,0.07229,6357.5,0.52634,577.5,1.11364142111666,0.3850268129166094,1.7369899755723108,2.9540953755774355
57,EPIC 248847494 b,12.44199,183.0,4.5,4898.0,,-882.0,0.9441836513497632,0.30120001576324323,,
58,EPIC 249893012 b,1.95,1616.0,0.047,5430.0,,-350.0,0.996995021743125,0.3301734424296875,,
59,EPIC 249893012 c,3.67,990.0,0.13,5430.0,,-350.0,0.996995021743125,0.3301734424296875,,
60,EPIC 249893012 d,3.94,752.0,0.22,5430.0,,-350.0,0.996995021743125,0.3301734424296875,,
61,G 9-40 b,1.99527,429.87,0.04015,3385.33,-1.96561,-2394.67,0.8712664247400295,0.2418118986800399,0.11146012116829526,0.21157101348389343
62,GJ 1132 b,1.22521621,542.3,0.0154433333,3242.75,-2.34618,-2537.25,0.868656880432613,0.23786813503054166,0.07202543137276401,0.1376391133241893
63,GJ 1214 b,2.72325,566.25,0.014975,3081.5,-2.44575,-2698.5,0.8659435441446084,0.23362544936907073,0.0643250615752052,0.12384113542211465
64,GJ 1252 b,1.27075603,1054.16,0.00916,3391.5,-1.70774,-2388.5,0.8713866263196973,0.24198726014628494,0.149976962956308,0.28459924839771195
65,GJ 143 b,2.65231287,437.92,0.1915,4634.27,-0.6862,-1145.7299999999996,0.9234338151791626,0.28825877619662343,0.4722773449343231,0.8452958382191178
66,GJ 238 b,0.5711891,827.0,0.02123,3465.0,-1.61618,-2315.0,0.8728769727797332,0.24410883196370048,0.16650737788272393,0.3148605528458418
67,GJ 3090 b,2.13868253,688.73,0.031625,3655.33,-1.34199,-2124.67,0.8773529204641985,0.24990626831519255,0.22772873670785815,0.4266938911485909
68,GJ 341 b,0.867887,629.0,,3766.0,,-2014.0,0.8804625225912506,0.2534984341553917,,
69,GJ 3470 b,4.13210156,604.54,0.0337666667,3611.2,-1.5378,-2168.8,0.8762243841842658,0.24852070609683713,0.18188309367424382,0.3415220200356423
70,GJ 3473 b,1.23736694,738.82,0.01589,3339.5,-1.82391,-2440.5,0.8703946567805486,0.24052201306277704,0.13127647052860555,0.24972819892076
71,GJ 357 b,1.22898333,534.67,0.0355,3505.0,-1.79833,-2275.0,0.8737381300675391,0.24528970105185552,0.13494113403056876,0.25468029429493505
72,GJ 367 b,1.35925333,1468.67,0.007095,3520.67,-1.53985,-2259.33,0.874086074524428,0.245757556452469,0.1816761422170441,0.3426269812629051
73,GJ 3929 b,1.11242891,556.68,0.025445,3368.33,-1.95,-2411.67,0.8709388253643414,0.24133084901255644,0.11350269522130486,0.2156222530109546
74,GJ 414 A b,2.63,308.6,0.2324,4120.0,-0.92445,-1660.0,0.893621007467504,0.26621088252812003,0.36492054528039786,0.6685934188716862
75,GJ 414 A c,8.4,124.7,1.4,4120.0,-0.92445,-1660.0,0.893621007467504,0.26621088252812003,0.36492054528039786,0.6685934188716862
76,GJ 436 b,4.11536883,649.61,0.02942,3414.0,-1.585,-2366.0,0.8718311073021083,0.24263027332480358,0.17269661281478732,0.32736142783373867
77,GJ 486 b,1.31528485,685.67,0.0172033333,3311.25,-1.92421,-2468.75,0.8698742299126624,0.23973770913310052,0.11699485607243387,0.22285727943264216
78,GJ 504 b,12.10569916,512.0,,,,,,,,
79,GJ 806 b,1.504615,1051.0,0.01406,3586.5,-1.58528,-2193.5,0.875618248937624,0.24775641659428674,0.17226720121573594,0.3238527166465257
80,GJ 9827 b,1.59749286,1111.07,0.019436,4253.86,,-1526.1400000000003,0.9000747461483283,0.2715343064182395,,
81,GJ 9827 c,1.24016667,760.47,0.040614,4263.0,,-1517.0,0.9005476725367191,0.27190843968900064,,
82,GJ 9827 d,2.00814286,642.65,0.057075,4259.14,-1.00436,-1520.8599999999997,0.9003474341645542,0.27175026923870343,0.3316003149593321,0.6035802331479613
83,GPX-1 b,15.93351056,2341.88,0.0338,7519.5,0.72673,1739.5,1.2431691477460263,0.4388160909397755,2.0706175384860455,3.485168080606203
84,GQ Lup b,42.5807,2525.0,100.0,4360.0,,-1420.0,0.905828465900144,0.2759633080929201,,
85,GSC 06214-00210 b,20.1762,2200.0,,4432.0,-0.54576,-1348.0,0.9100631177352545,0.2790727726625794,0.5592219930696328,1.0098602232475289
86,GU Psc b,14.179,1050.0,2000.0,,,,,,,
87,Gaia-1 b,12.65581119,1159.07,,5370.0,,-410.0,0.9903633726736291,0.32674635464780755,,
88,Gaia-2 b,14.72447081,1213.23,,5720.0,,-60.0,1.031080629557744,0.34713197704332005,,
89,Gliese 12 b,0.94285876,309.7,0.0669,3308.33,-2.13432,-2471.67,0.8698211073189842,0.23965709612643,0.09185970130567038,0.17500274208579142
90,HAT-P-1 b,14.41020883,1279.83,0.0554675,6002.06,0.19745,222.0600000000004,1.0667924656795105,0.3639780981212414,1.2153042876250342,2.0805941560757604
91,HAT-P-11 b,4.82138811,818.89,0.05284875,4774.7,-0.585,-1005.3000000000002,0.9340151432024267,0.2950181929922013,0.5276221766765049,0.9388054469300787
92,HAT-P-12 b,10.7091104,954.2,0.038035,4654.15,-0.67889,-1125.8500000000004,0.9248668557811992,0.2891969808218008,0.4758996572220699,0.851055970215092
93,HAT-P-13 b,16.11822458,1704.75,0.04321,5675.33,0.346,-104.67000000000007,1.0256309357165732,0.3444856591691532,1.4706334641458094,2.5375489371630087
94,HAT-P-14 b,13.59349275,1596.75,0.0604266667,6627.65,0.57759,847.6499999999996,1.1490283840272615,0.4003029717933096,1.8139680001169607,3.073269124629392
95,HAT-P-15 b,10.79456824,833.09,0.0964,5615.77,0.0,-164.22999999999956,1.018470162030192,0.3409735028749418,0.9908909112952751,1.7125359000175355
96,HAT-P-16 b,14.24219235,1618.2,0.0413,6149.0,0.29447,369.0,1.086036176150828,0.3727511177434724,1.346830224817131,2.2989288096619473
97,HAT-P-17 b,11.5236718,831.67,0.0887,5310.99,-0.2933,-469.0100000000002,0.9839972296213463,0.32340980510093437,0.7192056030334307,1.2545079234920378
98,HAT-P-18 b,10.83263417,820.35,0.0559,4821.0,-0.569,-959.0,0.9377376664855878,0.29731305825949883,0.5363636278375613,0.952561463547786
99,HAT-P-19 b,11.84402625,968.52,0.046295,4986.33,-0.45873,-793.6700000000001,0.9519667319360314,0.3057638166344379,0.6043995248525379,1.0664535754915287
100,HAT-P-2 b,12.6217274,1505.2,0.06802,6316.56,0.54107,536.5600000000004,1.1082161898504603,0.3826408054225414,1.771017101017185,3.0139730105956195
101,HAT-P-20 b,10.52258125,932.5,0.03601,4598.5,-0.721,-1181.5,0.9209092036860808,0.2865864380087564,0.4543511099120631,0.814464543475403
102,HAT-P-21 b,12.18968273,1313.0,0.049885,5639.0,0.10342,-141.0,1.0212482502331632,0.3423409378726588,1.1146649296696471,1.9252209631818733
103,HAT-P-22 b,12.282215,1305.5,0.0415033333,5318.93,-0.114,-461.0699999999997,0.9848445933866922,0.32385669089419744,0.8837229781707262,1.541074247027057
104,HAT-P-23 b,14.38631924,1953.89,0.02311,5902.74,0.199,122.73999999999978,1.0539941114394487,0.3580320971489525,1.224844362783312,2.1015465722142412
105,HAT-P-24 b,14.7095937,1583.48,0.0465,6373.0,0.408,593.0,1.1156938334574105,0.38592625204450925,1.5143542601888995,2.5748257226372315
106,HAT-P-25 b,12.90957179,1159.88,0.0466,5543.0,-0.13841,-237.0,1.0098961276521945,0.33671223070601314,0.8485093777751134,1.469486342359046
107,HAT-P-26 b,6.91251827,1007.24,0.04769,5080.3,-0.43367,-699.6999999999998,0.9606946615828457,0.3107364209275238,0.6192589774338375,1.08885216854111
108,HAT-P-27 b,10.91473171,1091.99,,5316.0,,-464.0,0.9845315637938356,0.3236917059969106,,
109,HAT-P-28 b,12.97096805,1310.88,0.0434,5689.19,0.053,-90.8100000000004,1.0273148017115115,0.3453057147885367,1.0486926574020419,1.8088315190447608
110,HAT-P-29 b,12.09184385,1244.06,0.0666233333,6107.0,0.28669,327.0,1.0805065985311726,0.3702496151233756,1.3382316231820222,2.2861129939485725
111,HAT-P-3 b,10.23662825,1125.25,0.0386733333,5196.0,-0.34775,-584.0,0.9720573982760853,0.3170145368540088,0.6796401780593465,1.1901053602649971
112,HAT-P-30 b,15.50761317,1604.35,0.0419,6304.0,0.312,524.0,1.1065510903688862,0.38190599087432214,1.3614894010074774,2.3175107879279078
113,HAT-P-31 b,12.81072638,1391.66,0.055,6090.0,0.348,310.0,1.0782742020342688,0.36923539309940745,1.4375911569415452,2.456678574090314
114,HAT-P-32 b,20.75366961,1769.22,0.034135,6182.67,0.31603,402.6700000000001,1.0904813156588957,0.3747512652940892,1.37786251620681,2.3504090252014764
115,HAT-P-33 b,19.25555,1785.5,0.0499,6544.15,0.618,764.1499999999996,1.1382112059115572,0.39568383721590356,1.9093633034757775,3.238365355148572
116,HAT-P-34 b,13.9836,1395.5,0.0677,6475.5,0.56,695.5,1.129221413424818,0.39181191998415854,1.793124512264178,3.0441158604476843
117,HAT-P-35 b,14.1072067,1507.56,0.0498,6096.0,0.407,316.0,1.0790616924676573,0.36959345335875604,1.5380726956298192,2.6280756661358042
118,HAT-P-36 b,14.7559884,1781.83,0.02395,5583.01,0.01771,-196.98999999999978,1.0145856679865592,0.3390507564530634,1.0132360621686938,1.7527607571381938
119,HAT-P-37 b,12.60945441,1210.17,0.0379,5488.5,-0.208,-291.5,1.003608833146291,0.3335456789011951,0.7856294635411409,1.362769297711647
120,HAT-P-38 b,9.74387214,1044.51,0.0523,5260.5,-0.208,-519.5,0.9786774064320714,0.32058371972433647,0.7955733354208431,1.3900463066168216
121,HAT-P-39 b,18.36463785,1719.67,0.0509,6448.0,0.607,668.0,1.1256019596272442,0.3902442577811765,1.8958657452041625,3.2198210796101097
122,HAT-P-4 b,14.809911,1697.33,0.044515,5900.33,0.431,120.32999999999993,1.0536862077898461,0.357887865469384,1.6000897836112193,2.745532021226855
123,HAT-P-40 b,18.71157799,1709.5,0.0608,6077.0,0.778,297.0,1.0765695957123294,0.3684592504137033,2.3603637967301396,4.034644440767235
124,HAT-P-41 b,18.56918774,1870.88,0.0426,6434.5,0.628,654.5,1.1238220653625353,0.3894714651233331,1.9437984100922123,3.3018867830198864
125,HAT-P-42 b,13.47558965,1366.18,0.0575,5743.0,0.356,-37.0,1.0339116672564852,0.34849805246792925,1.4816931800387505,2.5521125447440776
