pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,pl_orbsmax,st_teff,st_lum
"GJ 238 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",0.57118910,827.00,0.0212300000,3465.00,-1.61618
"GJ 3090 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.13868253,688.73,0.0316250000,3655.33,-1.34199
"GJ 341 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",0.86788700,629.00,,3766.00,
"GJ 3470 b","Radial Velocity","La Silla Observatory",4.13210156,604.54,0.0337666667,3611.20,-1.53780
"GJ 3473 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.23736694,738.82,0.0158900000,3339.50,-1.82391
"GJ 357 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.22898333,534.67,0.0355000000,3505.00,-1.79833
"GJ 367 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.35925333,1468.67,0.0070950000,3520.67,-1.53985
"GJ 3929 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.11242891,556.68,0.0254450000,3368.33,-1.95000
"GJ 414 A b","Radial Velocity","W. M. Keck Observatory",2.63000000,308.60,0.2324000000,4120.00,-0.92445
"GJ 414 A c","Radial Velocity","W. M. Keck Observatory",8.40000000,124.70,1.4000000000,4120.00,-0.92445
"GJ 436 b","Radial Velocity","W. M. Keck Observatory",4.11536883,649.61,0.0294200000,3414.00,-1.58500
"GJ 486 b","Radial Velocity","Calar Alto Observatory",1.31528485,685.67,0.0172033333,3311.25,-1.92421
"GJ 504 b","Imaging","Subaru Telescope",12.10569916,512.00,,,
"GJ 806 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.50461500,1051.00,0.0140600000,3586.50,-1.58528
"GJ 9827 b","Transit","K2",1.59749286,1111.07,0.0194360000,4253.86,
"GJ 9827 c","Transit","K2",1.24016667,760.47,0.0406140000,4263.00,
"GJ 9827 d","Transit","K2",2.00814286,642.65,0.0570750000,4259.14,-1.00436
"GPX-1 b","Transit","Acton Sky Portal Observatory",15.93351056,2341.88,0.0338000000,7519.50,0.72673
"GQ Lup b","Imaging","Paranal Observatory",42.58070000,2525.00,100.0000000000,4360.00,
"GSC 06214-00210 b","Imaging","Palomar Observatory",20.17620000,2200.00,,4432.00,-0.54576
"GU Psc b","Imaging","Gemini Observatory",14.17900000,1050.00,2000.0000000000,,
"Gaia-1 b","Transit","European Space Agency (ESA) Gaia Satellite",12.65581119,1159.07,,5370.00,
"Gaia-2 b","Transit","European Space Agency (ESA) Gaia Satellite",14.72447081,1213.23,,5720.00,
"Gliese 12 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",0.94285876,309.70,0.0669000000,3308.33,-2.13432
"HAT-P-1 b","Transit","HATNet",14.41020883,1279.83,0.0554675000,6002.06,0.19745
"HAT-P-11 b","Transit","HATNet",4.82138811,818.89,0.0528487500,4774.70,-0.58500
"HAT-P-12 b","Transit","HATNet",10.70911040,954.20,0.0380350000,4654.15,-0.67889
"HAT-P-13 b","Transit","HATNet",16.11822458,1704.75,0.0432100000,5675.33,0.34600
"HAT-P-14 b","Transit","HATNet",13.59349275,1596.75,0.0604266667,6627.65,0.57759
"HAT-P-15 b","Transit","HATNet",10.79456824,833.09,0.0964000000,5615.77,0.00000
"HAT-P-16 b","Transit","HATNet",14.24219235,1618.20,0.0413000000,6149.00,0.29447
"HAT-P-17 b","Transit","HATNet",11.52367180,831.67,0.0887000000,5310.99,-0.29330
"HAT-P-18 b","Transit","HATNet",10.83263417,820.35,0.0559000000,4821.00,-0.56900
"HAT-P-19 b","Transit","HATNet",11.84402625,968.52,0.0462950000,4986.33,-0.45873
"HAT-P-2 b","Transit","HATNet",12.62172740,1505.20,0.0680200000,6316.56,0.54107
"HAT-P-20 b","Transit","HATNet",10.52258125,932.50,0.0360100000,4598.50,-0.72100
"HAT-P-21 b","Transit","HATNet",12.18968273,1313.00,0.0498850000,5639.00,0.10342
"HAT-P-22 b","Transit","HATNet",12.28221500,1305.50,0.0415033333,5318.93,-0.11400
"HAT-P-23 b","Transit","HATNet",14.38631924,1953.89,0.0231100000,5902.74,0.19900
"HAT-P-24 b","Transit","HATNet",14.70959370,1583.48,0.0465000000,6373.00,0.40800
"HAT-P-25 b","Transit","HATNet",12.90957179,1159.88,0.0466000000,5543.00,-0.13841
"HAT-P-26 b","Transit","HATNet",6.91251827,1007.24,0.0476900000,5080.30,-0.43367
"HAT-P-27 b","Transit","HATNet",10.91473171,1091.99,,5316.00,
"HAT-P-28 b","Transit","HATNet",12.97096805,1310.88,0.0434000000,5689.19,0.05300
"HAT-P-29 b","Transit","HATNet",12.09184385,1244.06,0.0666233333,6107.00,0.28669
"HAT-P-3 b","Transit","HATNet",10.23662825,1125.25,0.0386733333,5196.00,-0.34775
"HAT-P-30 b","Transit","HATNet",15.50761317,1604.35,0.0419000000,6304.00,0.31200
"HAT-P-31 b","Transit","HATNet",12.81072638,1391.66,0.0550000000,6090.00,0.34800
"HAT-P-32 b","Transit","HATNet",20.75366961,1769.22,0.0341350000,6182.67,0.31603
"HAT-P-33 b","Transit","HATNet",19.25555000,1785.50,0.0499000000,6544.15,0.61800
"HAT-P-34 b","Transit","HATNet",13.98360000,1395.50,0.0677000000,6475.50,0.56000
"HAT-P-35 b","Transit","HATNet",14.10720670,1507.56,0.0498000000,6096.00,0.40700
"HAT-P-36 b","Transit","HATNet",14.75598840,1781.83,0.0239500000,5583.01,0.01771
"HAT-P-37 b","Transit","HATNet",12.60945441,1210.17,0.0379000000,5488.50,-0.20800
"HAT-P-38 b","Transit","HATNet",9.74387214,1044.51,0.0523000000,5260.50,-0.20800
"HAT-P-39 b","Transit","HATNet",18.36463785,1719.67,0.0509000000,6448.00,0.60700
"HAT-P-4 b","Transit","HATNet",14.80991100,1697.33,0.0445150000,5900.33,0.43100
"HAT-P-40 b","Transit","HATNet",18.71157799,1709.50,0.0608000000,6077.00,0.77800
"HAT-P-41 b","Transit","HATNet",18.56918774,1870.88,0.0426000000,6434.50,0.62800
"HAT-P-42 b","Transit","HATNet",13.47558965,1366.18,0.0575000000,5743.00,0.35600
"HAT-P-43 b","Transit","HATNet",14.15623333,1348.33,0.0443500000,5661.00,0.04500
"HAT-P-44 b","Transit","HATNet",14.64520000,1067.50,0.0507000000,5205.08,-0.19400
"HAT-P-45 b","Transit","HATNet",16.44611657,1552.30,0.0452000000,5957.50,0.40000
"HAT-P-46 b","Transit","HATNet",13.89272013,1509.81,0.0577000000,6853.50,0.39100
"HAT-P-49 b","Transit","HATNet",16.64405000,2199.00,0.0438000000,6887.50,0.81400
"HAT-P-5 b","Transit","HATNet",14.01099810,1477.80,0.0407500000,5896.50,0.18750
"HAT-P-50 b","Transit","HATNet",14.38006586,1795.13,0.0453000000,6280.00,0.60314
"HAT-P-51 b","Transit","HATNet",13.89924550,1143.95,0.0505550000,5442.63,-0.08419
"HAT-P-52 b","Transit","HATNet",11.01029050,1150.00,0.0369400000,5081.54,-0.30452
"HAT-P-53 b","Transit","HATNet",13.99209172,1669.05,0.0315900000,5991.00,0.21748
"HAT-P-54 b","Transit","HATNet",11.92417915,800.32,0.0411700000,4261.70,-0.90170
"HAT-P-55 b","Transit","HATNet",14.21097043,1304.51,0.0461600000,5821.33,0.09656
"HAT-P-56 b","Transit","HATNet",16.59417140,1772.67,0.0423000000,6600.95,
"HAT-P-57 b","Transit","HATNet",16.46221546,2021.50,0.0406000000,7174.00,0.80618
"HAT-P-58 b","Transit","HATNet",14.94242059,1506.79,0.0499400000,5878.50,0.45637
"HAT-P-59 b","Transit","HATNet",12.78447427,1230.39,0.0506400000,5548.15,0.05385
"HAT-P-6 b","Transit","HATNet",15.31530833,1661.00,0.0524050000,6677.80,0.55500
"HAT-P-60 b","Transit","HATNet",18.31232376,1673.00,0.0627700000,6272.50,0.80889
"HAT-P-61 b","Transit","HATNet",10.72505879,1462.16,0.0301000000,5525.60,-0.11520
"HAT-P-62 b","Transit","HATNet",12.40380102,1467.77,0.0377200000,5612.50,0.09061
"HAT-P-63 b","Transit","HATNet",13.08339156,1177.94,0.0429400000,5240.00,-0.14630
"HAT-P-64 b","Transit","HATNet",18.62514707,1715.00,0.0538700000,6329.50,0.66839
